iter	Passed	Remaining
0	31	31441
1	62	31077
2	91	30309
3	119	29791
4	147	29446
5	180	29897
6	219	31158
7	253	31394
8	282	31125
9	316	31379
10	351	31558
11	378	31162
12	407	30929
13	435	30699
14	465	30535
15	493	30365
16	520	30105
17	551	30111
18	585	30217
19	614	30123
20	643	29998
21	674	29975
22	707	30058
23	735	29919
24	762	29736
25	783	29349
26	808	29138
27	833	28922
28	861	28858
29	892	28845
30	918	28696
31	945	28595
32	981	28756
33	1012	28754
34	1038	28638
35	1067	28590
36	1097	28572
37	1127	28553
38	1155	28483
39	1185	28447
40	1214	28397
41	1243	28354
42	1272	28323
43	1304	28352
44	1337	28392
45	1365	28329
46	1382	28026
47	1401	27796
48	1420	27567
49	1440	27369
50	1463	27225
51	1482	27022
52	1503	26867
53	1521	26657
54	1542	26500
55	1568	26445
56	1594	26376
57	1621	26337
58	1647	26283
59	1674	26232
60	1704	26242
61	1738	26302
62	1769	26318
63	1798	26309
64	1826	26276
65	1853	26223
66	1882	26220
67	1911	26199
68	1938	26153
69	1962	26072
70	1989	26027
71	2021	26052
72	2049	26027
73	2077	25996
74	2107	25996
75	2132	25927
76	2165	25957
77	2208	26099
78	2245	26180
79	2284	26273
80	2315	26269
81	2343	26232
82	2373	26218
83	2402	26198
84	2430	26165
85	2458	26127
86	2487	26102
87	2516	26083
88	2543	26038
89	2572	26005
90	2605	26027
91	2634	26002
92	2667	26010
93	2702	26044
94	2733	26041
95	2763	26019
96	2798	26050
97	2830	26056
98	2859	26026
99	2885	25972
100	2914	25940
101	2941	25898
102	2969	25861
103	2995	25804
104	3024	25782
105	3056	25777
106	3084	25746
107	3120	25772
108	3158	25821
109	3187	25789
110	3212	25730
111	3241	25698
112	3271	25682
113	3303	25674
114	3330	25627
115	3356	25578
116	3387	25566
117	3413	25516
118	3444	25504
119	3480	25526
120	3505	25462
121	3531	25418
122	3550	25315
123	3567	25199
124	3595	25168
125	3626	25152
126	3648	25082
127	3673	25026
128	3702	24997
129	3729	24957
130	3759	24939
131	3784	24884
132	3815	24871
133	3851	24891
134	3877	24847
135	3905	24812
136	3936	24798
137	3967	24784
138	3995	24750
139	4023	24716
140	4051	24679
141	4080	24654
142	4107	24614
143	4133	24569
144	4168	24582
145	4202	24583
146	4237	24589
147	4278	24629
148	4310	24619
149	4339	24591
150	4365	24545
151	4396	24525
152	4424	24496
153	4454	24472
154	4483	24441
155	4511	24407
156	4536	24359
157	4554	24270
158	4571	24178
159	4586	24081
160	4605	23998
161	4626	23932
162	4645	23856
163	4665	23782
164	4691	23741
165	4715	23691
166	4736	23623
167	4752	23537
168	4772	23467
169	4802	23445
170	4828	23407
171	4859	23393
172	4892	23388
173	4922	23367
174	4955	23359
175	4985	23340
176	5012	23306
177	5039	23272
178	5067	23241
179	5095	23213
180	5126	23196
181	5155	23171
182	5184	23146
183	5214	23125
184	5244	23104
185	5270	23066
186	5297	23032
187	5328	23013
188	5356	22983
189	5383	22950
190	5412	22923
191	5440	22897
192	5469	22867
193	5513	22906
194	5548	22905
195	5577	22878
196	5607	22858
197	5638	22840
198	5670	22824
199	5694	22779
200	5725	22759
201	5752	22726
202	5780	22693
203	5809	22667
204	5838	22643
205	5868	22619
206	5899	22602
207	5927	22571
208	5958	22549
209	5988	22527
210	6016	22498
211	6045	22470
212	6074	22442
213	6102	22413
214	6144	22434
215	6186	22454
216	6217	22436
217	6250	22421
218	6281	22401
219	6310	22375
220	6336	22335
221	6366	22311
222	6393	22276
223	6422	22250
224	6448	22212
225	6477	22184
226	6503	22146
227	6531	22114
228	6560	22086
229	6590	22063
230	6621	22042
231	6649	22010
232	6670	21957
233	6696	21920
234	6723	21887
235	6748	21846
236	6768	21791
237	6799	21768
238	6827	21738
239	6853	21701
240	6880	21668
241	6908	21638
242	6937	21612
243	6966	21585
244	7000	21573
245	7028	21543
246	7054	21507
247	7083	21480
248	7110	21446
249	7139	21418
250	7165	21382
251	7195	21356
252	7222	21323
253	7249	21292
254	7276	21257
255	7303	21225
256	7334	21204
257	7362	21173
258	7389	21142
259	7417	21111
260	7443	21076
261	7471	21045
262	7499	21014
263	7529	20989
264	7560	20969
265	7589	20942
266	7620	20920
267	7652	20902
268	7685	20885
269	7714	20857
270	7740	20822
271	7762	20774
272	7781	20721
273	7801	20669
274	7819	20616
275	7841	20568
276	7860	20515
277	7883	20473
278	7909	20440
279	7931	20394
280	7956	20358
281	7985	20330
282	8017	20313
283	8046	20287
284	8072	20252
285	8104	20231
286	8137	20216
287	8171	20200
288	8207	20191
289	8238	20169
290	8271	20152
291	8297	20119
292	8325	20089
293	8355	20065
294	8386	20041
295	8416	20016
296	8445	19989
297	8473	19962
298	8501	19931
299	8529	19901
300	8558	19873
301	8586	19844
302	8613	19813
303	8642	19786
304	8669	19755
305	8695	19722
306	8725	19695
307	8747	19654
308	8775	19623
309	8803	19595
310	8833	19571
311	8857	19532
312	8886	19504
313	8913	19473
314	8942	19445
315	8966	19409
316	8993	19378
317	9018	19342
318	9047	19314
319	9080	19296
320	9104	19259
321	9133	19231
322	9161	19201
323	9189	19173
324	9215	19140
325	9241	19107
326	9270	19079
327	9299	19051
328	9324	19016
329	9351	18986
330	9378	18955
331	9402	18917
332	9429	18887
333	9458	18859
334	9484	18827
335	9510	18795
336	9538	18766
337	9566	18736
338	9594	18707
339	9620	18676
340	9651	18652
341	9687	18639
342	9727	18631
343	9758	18608
344	9785	18578
345	9809	18541
346	9828	18495
347	9856	18466
348	9883	18436
349	9909	18403
350	9936	18372
351	9961	18338
352	9998	18326
353	10030	18304
354	10056	18272
355	10084	18242
356	10113	18214
357	10153	18208
358	10187	18190
359	10220	18170
360	10248	18140
361	10276	18111
362	10303	18080
363	10333	18055
364	10363	18029
365	10388	17996
366	10416	17966
367	10444	17936
368	10473	17909
369	10503	17884
370	10532	17857
371	10561	17829
372	10594	17808
373	10621	17778
374	10646	17744
375	10675	17717
376	10702	17686
377	10731	17658
378	10761	17633
379	10790	17606
380	10816	17573
381	10843	17543
382	10877	17522
383	10905	17493
384	10934	17466
385	10960	17434
386	10979	17390
387	11000	17351
388	11020	17310
389	11038	17265
390	11054	17217
391	11071	17172
392	11088	17125
393	11108	17085
394	11139	17062
395	11166	17031
396	11195	17005
397	11223	16975
398	11252	16949
399	11279	16918
400	11307	16890
401	11337	16864
402	11365	16837
403	11396	16812
404	11425	16786
405	11451	16753
406	11473	16716
407	11500	16686
408	11525	16654
409	11551	16622
410	11571	16583
411	11587	16536
412	11604	16494
413	11633	16466
414	11649	16421
415	11670	16383
416	11699	16356
417	11729	16331
418	11752	16295
419	11777	16264
420	11808	16240
421	11833	16207
422	11859	16176
423	11880	16139
424	11897	16096
425	11920	16062
426	11950	16036
427	11982	16014
428	12004	15978
429	12038	15957
430	12080	15948
431	12138	15960
432	12190	15963
433	12229	15949
434	12264	15930
435	12294	15904
436	12326	15880
437	12362	15862
438	12406	15854
439	12457	15854
440	12518	15868
441	12577	15878
442	12604	15848
443	12636	15823
444	12667	15799
445	12695	15769
446	12724	15742
447	12753	15714
448	12779	15682
449	12808	15654
450	12841	15631
451	12869	15603
452	12902	15579
453	12934	15555
454	12963	15527
455	12989	15496
456	13019	15469
457	13044	15437
458	13073	15408
459	13099	15378
460	13128	15349
461	13155	15319
462	13182	15289
463	13208	15258
464	13236	15228
465	13264	15199
466	13291	15170
467	13319	15140
468	13355	15120
469	13384	15092
470	13412	15064
471	13438	15032
472	13466	15003
473	13494	14975
474	13522	14946
475	13552	14919
476	13585	14895
477	13614	14868
478	13642	14839
479	13672	14811
480	13700	14783
481	13732	14757
482	13758	14726
483	13787	14699
484	13815	14670
485	13844	14642
486	13873	14614
487	13902	14586
488	13937	14565
489	13970	14540
490	14003	14516
491	14032	14488
492	14069	14468
493	14103	14446
494	14140	14426
495	14166	14394
496	14188	14359
497	14209	14323
498	14236	14293
499	14256	14256
500	14283	14226
501	14309	14195
502	14328	14157
503	14355	14127
504	14384	14099
505	14417	14075
506	14453	14054
507	14482	14026
508	14512	13998
509	14540	13969
510	14567	13940
511	14597	13913
512	14626	13885
513	14657	13858
514	14684	13829
515	14712	13799
516	14740	13771
517	14769	13743
518	14798	13714
519	14824	13684
520	14853	13655
521	14881	13627
522	14907	13596
523	14939	13570
524	14971	13545
525	15004	13520
526	15033	13493
527	15066	13468
528	15096	13441
529	15125	13413
530	15156	13386
531	15183	13356
532	15211	13328
533	15239	13298
534	15266	13269
535	15293	13239
536	15320	13209
537	15350	13181
538	15380	13155
539	15406	13124
540	15438	13098
541	15476	13078
542	15504	13049
543	15531	13019
544	15558	12989
545	15588	12961
546	15614	12931
547	15642	12902
548	15671	12874
549	15696	12842
550	15724	12813
551	15751	12783
552	15777	12753
553	15807	12726
554	15835	12697
555	15863	12667
556	15892	12639
557	15920	12610
558	15950	12583
559	15975	12552
560	16002	12522
561	16033	12495
562	16082	12483
563	16113	12456
564	16149	12433
565	16181	12407
566	16213	12381
567	16242	12353
568	16272	12325
569	16303	12298
570	16329	12268
571	16360	12241
572	16384	12209
573	16402	12173
574	16424	12139
575	16456	12113
576	16481	12082
577	16511	12055
578	16549	12033
579	16571	12000
580	16600	11971
581	16633	11946
582	16662	11918
583	16688	11887
584	16719	11861
585	16745	11830
586	16769	11798
587	16795	11767
588	16823	11739
589	16852	11710
590	16880	11681
591	16905	11651
592	16929	11619
593	16950	11585
594	16975	11554
595	17001	11524
596	17028	11494
597	17058	11467
598	17087	11439
599	17103	11402
600	17120	11366
601	17142	11333
602	17170	11304
603	17198	11275
604	17228	11248
605	17257	11219
606	17286	11192
607	17311	11161
608	17336	11130
609	17359	11098
610	17378	11064
611	17399	11031
612	17424	11000
613	17441	10964
614	17461	10931
615	17479	10896
616	17502	10864
617	17527	10834
618	17552	10803
619	17583	10777
620	17611	10748
621	17638	10719
622	17666	10690
623	17695	10662
624	17723	10633
625	17753	10607
626	17782	10578
627	17808	10548
628	17836	10520
629	17868	10494
630	17902	10469
631	17929	10439
632	17957	10411
633	17982	10380
634	18005	10349
635	18038	10324
636	18081	10303
637	18123	10283
638	18158	10258
639	18196	10235
640	18235	10213
641	18265	10185
642	18293	10156
643	18320	10127
644	18349	10099
645	18378	10071
646	18399	10038
647	18423	10007
648	18452	9979
649	18479	9950
650	18507	9921
651	18533	9891
652	18564	9864
653	18596	9838
654	18629	9812
655	18657	9783
656	18686	9755
657	18715	9727
658	18741	9697
659	18768	9668
660	18794	9638
661	18826	9612
662	18854	9583
663	18885	9556
664	18913	9527
665	18938	9497
666	18961	9466
667	18989	9437
668	19016	9408
669	19043	9379
670	19071	9350
671	19099	9322
672	19122	9291
673	19151	9263
674	19181	9235
675	19208	9206
676	19238	9178
677	19266	9149
678	19295	9122
679	19322	9092
680	19349	9063
681	19376	9034
682	19404	9006
683	19433	8978
684	19460	8949
685	19490	8921
686	19519	8892
687	19548	8865
688	19574	8835
689	19604	8808
690	19634	8780
691	19667	8753
692	19695	8725
693	19724	8696
694	19755	8669
695	19785	8641
696	19814	8613
697	19845	8586
698	19873	8557
699	19902	8529
700	19932	8501
701	19963	8474
702	19993	8446
703	20025	8419
704	20066	8396
705	20110	8374
706	20140	8346
707	20181	8323
708	20225	8301
709	20268	8278
710	20304	8253
711	20337	8226
712	20375	8201
713	20412	8176
714	20446	8149
715	20480	8123
716	20515	8097
717	20550	8071
718	20573	8040
719	20598	8010
720	20619	7979
721	20643	7948
722	20666	7917
723	20695	7889
724	20738	7866
725	20782	7843
726	20822	7819
727	20857	7792
